word,freq_int
a,9
abandon,2
ability,8
able,9
about,9
above,8
abroad,4
absence,5
absolute,4
absolutely,5
absorb,2
abuse,4
academic,4
accept,9
acceptable,3
access,8
accident,6
accommodation,6
accompany,4
according,8
account,9
accurate,4
accuse,2
achieve,8
achievement,5
acid,2
acknowledge,3
acquire,4
across,9
act,9
action,9
active,6
activist,1
activity,8
actor,2
actual,7
actually,9
ad,3
adapt,2
add,9
addition,7
additional,5
address,6
adequate,3
adjust,2
administration,6
administrative,2
admire,1
admission,2
admit,8
adopt,5
adult,6
advance,6
advanced,2
advantage,8
advert,1
advertise,3
advertisement,1
advertising,2
advice,6
advise,6
adviser,3
affair,8
affect,8
afford,5
afraid,7
after,9
afternoon,7
afterwards,4
again,9
against,9
age,9
aged,2
agency,7
agent,5
aggressive,1
ago,9
agree,9
agreement,8
agriculture,4
ahead,7
aid,6
aim,6
air,9
aircraft,6
airline,4
airport,3
alarm,2
album,3
alcohol,2
alive,4
all,9
allow,9
allowance,4
almost,9
alone,8
along,9
alongside,2
already,9
also,9
alter,3
alternative,6
although,9
altogether,4
always,9
amazing,2
ambition,2
ambulance,1
among,8
amount,9
an,9
analyse,2
analysis,7
analyst,4
ancient,4
and,9
anger,2
angle,3
angry,3
animal,9
announce,8
announcement,3
annoy,1
annual,6
another,9
answer,9
anticipate,1
anxiety,3
anxious,3
any,9
anybody,5
anyhow,1
anyone,9
anything,9
anyway,7
anywhere,5
apart,8
apartment,4
apologize,2
apology,1
apparent,4
apparently,7
appeal,8
appear,8
appearance,4
apple,4
application,9
apply,9
appoint,6
appointment,6
appreciate,4
approach,8
appropriate,8
approval,4
approve,5
approximate,3
architect,2
architecture,3
area,9
argue,8
argument,9
arise,5
arm,9
armed,3
army,9
around,9
arrange,6
arrangement,6
arrest,2
arrival,2
arrive,8
art,9
article,8
artificial,1
artist,5
as,9
ashamed,1
aside,3
ask,9
asleep,2
aspect,8
assess,6
assessment,5
assignment,2
assist,3
assistance,5
assistant,1
associate,5
association,7
assume,8
assumption,6
assure,4
at,9
atmosphere,5
attach,6
attack,6
attempt,8
attend,6
attention,8
attitude,8
attorney,4
attract,6
attraction,2
attractive,6
audience,6
aunt,3
author,4
authority,6
automatic,1
automatically,3
autumn,2
available,9
average,6
avoid,8
awake,1
award,5
aware,9
awareness,2
away,9
awful,3
awkward,1
baby,9
back,9
background,6
backwards,1
bacon,1
bad,9
badly,3
bag,7
bake,1
balance,6
ball,7
ban,2
band,6
bang,1
bank,9
bar,9
barrier,2
base,9
baseball,5
basic,8
basically,3
basis,8
basket,1
bat,1
bath,4
bathroom,4
battery,2
battle,4
be,9
beach,6
bean,2
bear,6
beard,1
beat,6
